City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Temple Gardens Hotel & Spa
456,Kieta,PG,85.17,scattered clouds,-6.2167,155.6333,Hotel Arena Blanca
459,Oussouye,SN,77.94,overcast clouds,12.485,-16.5469,Uruna Bay Retreat
465,Bhanjanagar,IN,77.65,moderate rain,19.9333,84.5833,Auberge du Routard
466,Amurzet,RU,86.09,overcast clouds,47.6967,131.0981,NIMAI
468,Det Udom,TH,89.04,broken clouds,14.906,105.0784,Gostinitsa Kvartirnogo Tipa
469,Namatanai,PG,85.08,light rain,-3.6667,152.4333,Chatsuda Resort
470,Sadat,IN,82.49,overcast clouds,25.6833,83.2833,Seagulls Inn Namatani
472,Chaman,PK,81.79,few clouds,30.9236,66.4512,Tuntun Niwas
473,Banda Aceh,ID,83.53,overcast clouds,5.5577,95.3222,Niamat parda Center chaman
475,Port Blair,IN,83.44,overcast clouds,11.6667,92.75,Sulthan Hotel International
478,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
480,North Platte,US,82.26,clear sky,41.1239,-100.7654,Swiss-Belhotel Ambon
483,Iracoubo,GF,77.52,clear sky,5.4802,-53.2011,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
484,Calafell,ES,77.86,clear sky,41.2,1.5683,Le Gîte d’Iracoubo
487,Svetlaya,RU,76.21,overcast clouds,46.5389,138.3297,Hotel Kursaal Calafell Playa
488,Pehowa,IN,80.89,broken clouds,29.9833,76.5833,
491,Luganville,VU,80.94,few clouds,-15.5333,167.1667,Hotel Kwality
492,Whitehorse,CA,75.02,few clouds,60.7161,-135.0538,The Espiritu Hotel
494,Bull Savanna,JM,77.04,scattered clouds,17.8868,-77.5902,The Sternwheeler Hotel & Conference Centre
496,Morgan City,US,82.04,clear sky,29.6994,-91.2068,Big Red's
499,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,Hampton Inn & Suites Morgan City
501,Preobrazheniye,RU,79.83,overcast clouds,42.9019,133.9064,The Esplanade Hotel
503,Ocean City,US,79.05,overcast clouds,39.2776,-74.5746,Campsite Orlan
505,Caramay,PH,86.83,overcast clouds,10.1815,119.236,Biscayne Suites
506,Massaguet,TD,77.04,moderate rain,12.4755,15.4365,Peace and Love Beach Club
507,Waddan,LY,76.75,clear sky,29.1614,16.139,Alwatane
508,Sabinas Hidalgo,MX,84.76,overcast clouds,26.5,-100.1667,محل الشريف محمد العايب
514,Diffa,NE,80.38,overcast clouds,13.3154,12.6113,Hotel Real Santiago De Las Sabinas
515,Puerto Palomas,MX,88.93,scattered clouds,31.7667,-107.6167,ProDAF/Diffa
517,Barranco,PA,77.41,few clouds,9.5167,-82.7,Hotel San Carlos
522,Nenjiang,CN,78.04,few clouds,49.1833,125.2167,Casa doña Delfina Jiménez
524,Bol,TD,79.97,overcast clouds,13.4586,14.7147,Nenjiang Apartment
